order_item_id,order_id,user_id,product_id,status,sale_price,created_at,shipped_at,returned_at
1,1,22092,459,Cancelled,49.19,2023-01-18 20:52:37.690320,,
2,1,22092,289,Cancelled,42.8,2023-01-18 20:52:37.690320,,
3,2,10287,51,Returned,100.36,2023-01-26 07:27:14.897191,2023-01-30 07:27:14.897191,2023-02-05 07:27:14.897191
4,3,11042,13,Returned,165.26,2023-01-29 20:32:46.766263,2023-01-31 20:32:46.766263,2023-02-04 20:32:46.766263
5,4,29279,246,Complete,111.61,2023-02-01 05:50:18.582185,2023-02-03 05:50:18.582185,
6,4,29279,368,Complete,28.07,2023-02-01 05:50:18.582185,2023-02-04 05:50:18.582185,
7,5,44426,247,Processing,156.57,2023-02-03 09:25:25.271766,,
8,6,5353,28,Shipped,41.36,2023-02-03 15:44:21.255511,2023-02-07 15:44:21.255511,
9,7,3744,165,Complete,65.65,2023-02-05 12:45:32.455148,2023-02-06 12:45:32.455148,
10,8,16321,36,Complete,39.57,2023-02-09 00:57:50.833781,2023-02-10 00:57:50.833781,
11,8,16321,13,Complete,174.0,2023-02-09 00:57:50.833781,2023-02-11 00:57:50.833781,
12,8,16321,301,Complete,11.67,2023-02-09 00:57:50.833781,2023-02-13 00:57:50.833781,
13,9,3741,172,Shipped,69.46,2023-02-15 04:17:01.425163,2023-02-19 04:17:01.425163,
14,9,3741,335,Shipped,22.46,2023-02-15 04:17:01.425163,2023-02-18 04:17:01.425163,
15,10,46951,406,Complete,52.0,2023-02-16 20:00:46.493776,2023-02-17 20:00:46.493776,
16,11,31779,320,Complete,8.6,2023-02-19 00:43:57.991061,2023-02-22 00:43:57.991061,
17,12,22605,336,Complete,20.75,2023-02-28 00:54:07.071966,2023-03-01 00:54:07.071966,
18,13,15680,459,Processing,52.71,2023-03-05 13:09:44.847568,,
19,13,15680,49,Processing,84.29,2023-03-05 13:09:44.847568,,
20,14,33008,94,Complete,24.91,2023-03-07 09:39:25.876724,2023-03-08 09:39:25.876724,
21,15,29651,131,Cancelled,47.34,2023-03-14 06:18:36.684647,,
22,15,29651,29,Cancelled,13.9,2023-03-14 06:18:36.684647,,
23,16,42131,460,Complete,47.57,2023-03-14 16:51:09.632034,2023-03-18 16:51:09.632034,
24,17,167,156,Complete,30.92,2023-03-17 15:56:05.303534,2023-03-18 15:56:05.303534,
25,17,167,52,Complete,52.73,2023-03-17 15:56:05.303534,2023-03-20 15:56:05.303534,
26,18,18377,274,Complete,104.63,2023-03-20 03:46:31.138004,2023-03-22 03:46:31.138004,
27,19,36457,471,Complete,25.0,2023-03-23 13:07:18.542534,2023-03-26 13:07:18.542534,
28,20,21430,301,Complete,12.02,2023-03-27 23:10:49.476856,2023-03-28 23:10:49.476856,
29,20,21430,24,Complete,60.52,2023-03-27 23:10:49.476856,2023-03-31 23:10:49.476856,
