order_id,user_id,status,num_of_item,total_sale_price,created_at,traffic_source
1,22092,Cancelled,2,91.99,2023-01-18 20:52:37.690320,Facebook
2,10287,Returned,1,100.36,2023-01-26 07:27:14.897191,Organic
3,11042,Returned,1,165.26,2023-01-29 20:32:46.766263,Organic
4,29279,Complete,2,139.68,2023-02-01 05:50:18.582185,Search
5,44426,Processing,1,156.57,2023-02-03 09:25:25.271766,Organic
6,5353,Shipped,1,41.36,2023-02-03 15:44:21.255511,Display
7,3744,Complete,1,65.65,2023-02-05 12:45:32.455148,Email
8,16321,Complete,3,225.24,2023-02-09 00:57:50.833781,Email
9,3741,Shipped,2,91.92,2023-02-15 04:17:01.425163,Organic
10,46951,Complete,1,52.0,2023-02-16 20:00:46.493776,Organic
11,31779,Complete,1,8.6,2023-02-19 00:43:57.991061,Email
12,22605,Complete,1,20.75,2023-02-28 00:54:07.071966,Email
13,15680,Processing,2,137.0,2023-03-05 13:09:44.847568,Search
14,33008,Complete,1,24.91,2023-03-07 09:39:25.876724,Facebook
15,29651,Cancelled,2,61.24,2023-03-14 06:18:36.684647,Organic
16,42131,Complete,1,47.57,2023-03-14 16:51:09.632034,Organic
17,167,Complete,2,83.65,2023-03-17 15:56:05.303534,Email
18,18377,Complete,1,104.63,2023-03-20 03:46:31.138004,Organic
19,36457,Complete,1,25.0,2023-03-23 13:07:18.542534,Search
20,21430,Complete,4,144.62,2023-03-27 23:10:49.476856,Organic
21,30143,Returned,1,47.78,2023-03-28 03:08:38.057318,Email
22,20509,Shipped,1,48.03,2023-03-28 06:45:40.541720,Email
23,45151,Returned,2,39.25,2023-03-28 22:10:28.988586,Email
24,12549,Returned,3,156.87,2023-03-29 08:27:31.963250,Organic
25,43796,Complete,2,49.08,2023-04-02 18:54:18.407991,Email
26,33841,Returned,1,75.21,2023-04-03 15:08:21.754461,Organic
27,25272,Cancelled,1,42.5,2023-04-04 02:41:40.932589,Search
28,3813,Returned,1,46.62,2023-04-06 21:34:12.653212,Organic
29,8418,Returned,1,19.45,2023-04-07 20:51:22.873029,Facebook
30,44788,Shipped,1,13.31,2023-04-10 09:44:34.487530,Search
31,44399,Shipped,1,16.27,2023-04-11 18:23:54.152812,Display
32,49375,Complete,1,22.27,2023-04-11 21:17:21.318690,Organic
33,43545,Processing,2,184.89,2023-04-12 14:28:19.232545,Organic
34,10138,Complete,3,138.54,2023-04-13 04:23:39.392874,Organic
35,26164,Complete,1,27.67,2023-04-15 07:15:47.768955,Search
36,10233,Returned,1,49.59,2023-04-16 12:13:27.721160,Email
37,19949,Returned,1,67.58,2023-04-17 13:41:36.729438,Organic
38,30705,Processing,3,58.41,2023-04-17 17:35:09.052917,Facebook
39,17136,Complete,3,151.78,2023-04-19 13:51:17.990571,Search
40,12768,Complete,1,47.6,2023-04-21 22:36:35.500372,Facebook
41,12106,Complete,3,95.59,2023-04-22 09:03:37.825614,Email
42,11780,Shipped,3,151.85,2023-04-26 07:04:44.597358,Facebook
43,48159,Complete,1,11.41,2023-04-27 12:10:23.705309,Email
44,33667,Complete,2,93.4,2023-04-29 14:36:54.087515,Search
45,26911,Complete,1,78.01,2023-04-30 07:30:11.545442,Organic
46,1904,Returned,1,31.41,2023-05-06 16:28:36.551763,Organic
47,20129,Shipped,1,14.13,2023-05-06 23:58:11.282483,Search
48,1575,Shipped,4,143.7,2023-05-10 09:47:58.470236,Organic
49,43796,Returned,1,76.89,2023-05-10 10:16:32.745796,Email
50,32794,Complete,2,29.39,2023-05-11 15:57:24.011737,Search
51,17071,Complete,2,40.68,2023-05-17 09:04:14.177174,Email
52,26047,Complete,1,11.07,2023-05-17 18:34:21.979090,Organic
53,42418,Complete,2,33.6,2023-05-18 22:10:10.439455,Organic
54,45151,Complete,1,33.34,2023-05-19 00:48:07.891336,Email
55,14449,Complete,1,35.11,2023-05-24 22:48:38.805229,Email
56,33186,Complete,2,71.8,2023-05-25 22:55:55.113300,Email
57,22833,Complete,1,26.48,2023-05-26 03:07:25.065800,Organic
58,35279,Complete,1,22.92,2023-05-27 03:55:14.023037,Email
59,45521,Complete,2,60.39,2023-05-29 04:42:54.732372,Search
60,47874,Processing,3,72.24,2023-06-01 17:51:29.076743,Organic
61,34972,Shipped,2,45.78,2023-06-02 00:06:09.674469,Organic
62,2976,Complete,1,45.09,2023-06-04 05:51:38.533054,Organic
63,34563,Complete,1,11.03,2023-06-04 06:52:00.527780,Organic
64,3512,Shipped,2,96.46,2023-06-04 15:46:36.979833,Organic
65,8983,Complete,1,36.46,2023-06-05 11:39:24.320447,Search
66,33953,Returned,1,50.53,2023-06-06 15:07:41.268505,Organic
67,26915,Complete,1,10.12,2023-06-08 01:11:59.367632,Search
68,33916,Processing,3,81.94,2023-06-08 02:44:48.824753,Organic
69,41135,Returned,2,85.32,2023-06-08 15:52:13.374400,Email
70,16542,Complete,1,18.54,2023-06-08 22:46:21.233190,Organic
71,39286,Complete,2,114.79,2023-06-08 23:27:47.366268,Email
72,39581,Complete,3,131.92,2023-06-10 02:39:08.024275,Organic
73,17644,Complete,1,48.21,2023-06-10 13:37:16.376543,Organic
74,20496,Returned,3,93.31,2023-06-13 08:23:25.552048,Search
75,22038,Complete,1,53.9,2023-06-14 08:13:06.945862,Organic
76,33893,Complete,2,77.91,2023-06-15 04:14:59.197766,Organic
77,36988,Complete,1,64.62,2023-06-15 16:47:33.445516,Organic
78,33445,Returned,3,72.47,2023-06-16 06:49:56.660785,Facebook
79,21917,Returned,1,69.42,2023-06-16 20:10:03.876085,Organic
80,5352,Complete,1,49.31,2023-06-16 20:41:24.502313,Organic
81,38256,Complete,1,43.36,2023-06-17 13:44:49.026869,Organic
82,47477,Complete,1,14.07,2023-06-18 18:13:16.738090,Email
83,14062,Complete,2,40.62,2023-06-18 22:45:45.914208,Facebook
84,39759,Complete,1,12.46,2023-06-19 02:53:12.559533,Organic
85,1164,Complete,1,84.05,2023-06-19 09:45:58.852565,Search
86,9022,Returned,1,91.99,2023-06-19 11:29:49.941165,Organic
87,19372,Complete,1,8.91,2023-06-19 18:08:52.900547,Display
88,13152,Complete,1,54.98,2023-06-20 08:03:03.232364,Email
89,36988,Complete,1,9.01,2023-06-20 10:34:35.383140,Organic
90,39804,Complete,1,35.88,2023-06-20 17:37:12.629123,Facebook
91,42554,Complete,1,36.35,2023-06-20 18:25:04.877594,Organic
92,23788,Complete,1,54.16,2023-06-21 20:09:54.438808,Search
93,34460,Complete,1,116.27,2023-06-22 05:19:17.231903,Search
94,34087,Complete,1,94.82,2023-06-22 08:19:39.620925,Search
