user_id,age,gender,country,state,traffic_source,created_at
1,38,F,Germany,,Search,2023-07-31 18:17:16.807363
2,48,F,United Kingdom,,Search,2024-01-06 06:12:13.088585
3,31,F,United Kingdom,,Organic,2024-07-25 23:20:58.091783
4,42,F,United States,FL,Facebook,2024-10-19 06:01:26.637511
5,24,M,United States,NC,Organic,2023-03-22 19:12:05.986947
6,26,F,United States,MO,Organic,2023-04-19 19:31:29.583191
7,26,M,United States,WI,Search,2023-05-28 10:34:41.522724
8,18,F,United States,OH,Email,2024-04-26 05:57:06.349904
9,41,F,United States,IN,Display,2023-12-08 23:20:06.417994
10,37,F,United States,NY,Organic,2024-03-19 23:58:43.373260
11,32,F,United States,TX,Organic,2023-01-03 11:34:03.276029
12,53,F,Canada,,Facebook,2023-04-02 13:46:13.079239
13,31,M,United States,PA,Facebook,2024-06-02 20:40:45.336883
14,34,F,United States,AZ,Organic,2024-01-28 15:14:07.181577
15,38,F,United States,NY,Search,2024-10-23 12:51:20.793541
16,40,F,Germany,,Organic,2024-09-24 18:00:00.007942
17,70,F,United States,TX,Display,2024-08-07 05:11:46.802706
18,34,F,United States,MO,Organic,2023-04-14 15:58:32.151121
19,33,M,United States,TX,Search,2023-08-04 18:44:25.003774
20,25,M,United States,VA,Organic,2023-05-28 01:17:09.038788
21,44,M,United States,FL,Display,2023-09-05 13:48:03.821492
22,38,F,United States,AZ,Search,2024-11-12 16:27:43.129103
23,41,M,Australia,,Search,2023-04-19 04:29:45.902332
24,27,F,United States,PA,Email,2024-11-14 08:15:40.871665
25,29,F,United States,AZ,Organic,2023-01-18 08:24:39.167602
26,37,F,France,,Organic,2024-10-09 03:23:11.616209
27,30,M,United States,GA,Display,2023-07-06 18:20:09.316274
28,32,M,Germany,,Search,2023-03-17 16:00:23.484851
29,38,F,United States,TN,Email,2023-06-05 16:53:11.237162
30,28,F,United States,VA,Facebook,2023-08-02 15:12:23.656639
31,44,M,United States,GA,Search,2023-01-17 13:33:45.010744
32,67,F,United States,WA,Organic,2023-08-18 18:48:02.808437
33,31,M,United States,NC,Search,2023-09-03 19:15:17.886925
34,22,F,United States,WA,Facebook,2024-04-20 15:54:15.798429
35,37,F,United States,NJ,Facebook,2024-10-19 11:11:02.246839
36,35,M,United States,NC,Organic,2023-05-05 23:56:21.522111
37,39,M,United States,TX,Facebook,2023-03-17 21:09:46.055546
38,23,M,United States,VA,Organic,2024-05-24 23:33:25.268276
39,25,F,United States,AZ,Display,2024-02-29 08:18:31.447956
40,37,F,United States,FL,Search,2023-09-27 15:16:59.808689
41,22,M,United States,OH,Organic,2023-06-28 07:20:17.171261
42,37,F,Germany,,Email,2023-11-02 05:45:58.534717
43,26,F,United States,MO,Search,2024-04-25 19:12:00.245391
44,18,F,France,,Facebook,2024-05-30 22:13:59.702293
45,52,M,United States,VA,Facebook,2023-10-29 21:47:46.729319
46,23,F,United Kingdom,,Organic,2024-10-06 12:57:01.384067
47,36,F,United States,NJ,Organic,2024-04-09 08:54:34.564540
48,49,F,United States,MI,Email,2023-12-21 23:39:29.044053
49,29,F,United Kingdom,,Email,2023-10-13 21:00:03.113290
50,40,F,United States,MI,Organic,2024-01-24 02:07:46.649288
51,35,M,United States,AZ,Search,2024-04-10 10:48:52.181188
52,39,M,United States,PA,Email,2024-03-06 20:39:02.116739
53,27,M,United States,WA,Organic,2024-01-19 13:20:42.650447
54,54,F,United States,MI,Search,2023-07-20 20:09:01.596233
55,32,M,United States,MD,Email,2024-02-29 15:54:51.782616
56,32,F,United States,MA,Email,2023-11-06 06:00:18.298359
57,45,M,United Kingdom,,Organic,2023-05-30 14:11:00.731821
58,55,M,United States,PA,Organic,2024-04-06 04:41:33.057505
59,46,F,United States,IN,Email,2024-04-09 16:44:40.019726
60,53,F,United States,NJ,Organic,2023-03-07 08:54:17.860570
61,56,F,Australia,,Facebook,2023-06-14 09:47:32.838894
62,61,F,United States,GA,Facebook,2024-07-18 14:15:23.863973
63,45,M,United States,CA,Organic,2023-02-02 08:23:25.670250
64,35,M,United States,WI,Search,2024-08-17 19:35:35.770904
65,45,M,United States,MA,Search,2023-10-18 02:36:32.345142
66,39,M,United Kingdom,,Organic,2024-02-07 23:16:15.996276
67,20,F,Germany,,Facebook,2024-05-02 10:45:05.069666
68,49,F,United States,WA,Facebook,2023-06-20 18:56:18.905704
69,48,F,United Kingdom,,Display,2024-04-26 08:03:23.543110
70,27,F,Australia,,Facebook,2024-08-25 07:24:05.396754
71,24,F,United States,AZ,Facebook,2023-06-03 04:31:51.954409
72,44,F,Germany,,Display,2023-12-29 13:41:24.746837
73,36,F,United States,MO,Organic,2023-06-24 10:31:51.953835
74,36,M,United States,MA,Facebook,2023-04-04 08:05:49.104089
75,44,F,United States,IN,Search,2024-11-22 12:35:35.561459
76,47,F,United States,NJ,Email,2024-10-27 00:39:55.518642
77,61,F,United States,WI,Organic,2024-07-24 12:06:33.563420
78,46,F,United States,AZ,Email,2024-08-04 09:33:43.384751
79,34,M,United States,MA,Organic,2024-09-20 01:05:46.083548
80,37,F,Australia,,Email,2024-08-26 01:06:52.143692
81,54,M,United States,NC,Organic,2024-06-10 05:51:00.047551
82,32,F,United Kingdom,,Search,2023-07-14 02:49:50.637347
83,31,F,Canada,,Email,2023-12-31 21:50:12.679836
84,23,M,United Kingdom,,Search,2023-06-17 11:19:49.843509
85,19,M,United States,NY,Facebook,2024-05-14 11:33:13.290717
86,23,F,United States,NC,Search,2023-08-24 02:14:19.014857
87,27,F,United States,NY,Display,2023-04-07 20:41:03.240497
88,18,F,United States,WA,Facebook,2024-04-30 18:21:24.647847
89,59,M,Germany,,Search,2023-05-30 18:24:30.007370
90,28,M,United States,AZ,Email,2023-08-20 14:48:26.529983
91,40,F,United States,AZ,Facebook,2023-02-13 14:03:50.176095
92,27,M,United States,WA,Email,2024-09-25 09:17:11.170014
93,62,F,United States,CA,Search,2024-08-22 17:05:53.313742
94,62,F,Australia,,Email,2024-02-07 23:35:52.175074
95,37,M,United States,CA,Organic,2024-10-21 22:03:35.441614
96,55,M,United States,WA,Organic,2024-08-20 09:55:32.050419
97,50,F,United States,MO,Facebook,2024-06-07 06:15:47.659793
98,46,M,United States,WI,Search,2024-09-20 11:13:50.290703
99,27,M,United States,GA,Search,2023-07-11 01:18:47.655442
100,36,F,United States,CA,Email,2023-09-30 04:48:03.652326
101,40,M,United Kingdom,,Display,2024-04-20 09:35:01.206515
102,45,F,United States,PA,Email,2024-08-11 08:29:42.502024
103,52,M,United States,WI,Organic,2024-01-09 21:16:37.114126
104,34,F,United States,MD,Search,2024-01-31 01:47:07.133338
105,19,M,United States,NY,Organic,2024-03-25 22:11:38.711605
106,22,F,United States,MA,Organic,2023-05-08 05:02:51.523532
107,18,F,United States,WA,Organic,2023-08-18 03:31:29.296636
108,40,M,United States,NJ,Organic,2023-08-25 06:00:33.147508
109,33,F,United States,NC,Facebook,2024-06-10 09:45:54.128593
110,43,F,United States,NC,Search,2024-08-07 10:30:12.133885
111,40,F,United States,CA,Organic,2024-06-08 07:36:27.310291
112,33,F,United States,VA,Search,2023-06-06 22:55:56.582730
113,42,M,United States,TX,Facebook,2024-06-11 23:07:04.181520
114,23,F,United States,OH,Email,2024-08-10 11:02:40.623292
115,25,M,United States,IL,Display,2023-06-16 23:33:18.085441
116,26,M,United States,FL,Facebook,2024-01-30 18:41:20.315128
117,34,F,United States,MA,Organic,2024-05-04 15:00:41.460967
118,58,F,Canada,,Organic,2023-09-16 05:26:20.143051
119,39,M,United States,WI,Organic,2024-11-05 14:44:37.323241
120,23,F,Germany,,Search,2023-03-22 04:09:08.060996
121,41,F,United States,MI,Organic,2023-03-17 16:03:32.379292
122,39,M,United States,MI,Display,2024-02-08 01:23:06.134383
123,49,F,United States,WA,Search,2024-10-21 00:42:21.799778
124,26,F,United States,NY,Organic,2024-02-19 11:14:38.648391
125,20,F,United Kingdom,,Organic,2023-06-19 23:52:10.534886
126,69,M,Germany,,Email,2024-06-24 17:40:43.921850
127,32,M,United Kingdom,,Organic,2024-02-25 06:54:54.464123
128,30,F,United States,MD,Facebook,2024-07-01 20:16:25.747914
129,34,F,United States,MO,Search,2023-10-27 20:45:02.240437
130,39,M,United States,NY,Search,2023-12-21 04:08:28.559670
131,21,F,United States,CA,Search,2024-08-17 16:52:13.920934
132,37,F,United States,FL,Facebook,2023-10-31 11:11:35.312187
133,61,F,United States,MA,Search,2024-05-10 02:47:06.771344
134,24,F,United States,PA,Organic,2024-05-28 15:45:39.986730
135,29,F,United Kingdom,,Facebook,2023-07-09 01:23:03.333510
136,37,M,United States,TN,Organic,2023-11-22 09:52:45.708455
137,53,F,France,,Organic,2024-02-19 17:34:24.960973
138,28,F,United States,GA,Organic,2024-08-04 12:16:52.022504
139,33,M,United States,NC,Facebook,2024-09-09 03:24:14.008488
140,44,F,United States,MA,Display,2024-02-03 21:28:26.510145
141,37,F,United Kingdom,,Organic,2023-09-23 07:01:13.113677
142,28,F,United States,TN,Search,2024-08-18 16:00:27.540178
143,51,M,United States,TN,Organic,2023-05-29 11:36:48.538871
144,44,F,United States,NJ,Facebook,2023-07-15 18:15:45.356513
145,18,F,United States,NC,Organic,2024-01-25 01:17:21.368576
146,40,F,United States,OH,Search,2023-03-01 22:17:51.939221
147,47,F,France,,Facebook,2023-10-12 11:59:32.980073
148,35,F,United States,GA,Organic,2024-04-28 10:14:12.849726
149,48,F,United Kingdom,,Facebook,2024-05-13 06:57:08.743470
150,32,F,United States,CA,Organic,2023-03-07 03:17:46.641547
151,30,F,United States,WA,Organic,2024-04-29 06:01:27.152254
152,31,M,United States,MD,Email,2023-09-16 07:32:36.855980
153,28,F,United States,IN,Search,2023-08-29 15:07:27.197962
